Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
MMM,3M Company,reports,Industrials,Industrial Conglomerates,St. Paul, Minnesota,United States,,66740,1,284372736.1
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,Richmond, Virginia,United States,,764180,1,359643748
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,Plymouth, Minnesota,United States,9/26/2011,1285785,1,84467467
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York, New York,United States,,895421,0,0
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,Schaumburg, Illinois,United States,,68505,0,41486444.5
MTB,M&T Bank Corp.,reports,Financials,Banks,Buffalo, New York,United States,,36270,1,130634687.2
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,El Dorado, Arkansas,United States,,717423,1,52469613.31
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,Amsterdam,NA,Netherlands,,69499,1,240764662.6
NAVI,Navient,reports,Financials,Consumer Finance,Newark, Delaware,United States,5/1/2014,1593538,1,25515790
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,10/8/2007,72207,1,84535068.22
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,New York, New York,United States,10/22/2008,1120193,1,36828745.65
NEE,NextEra Energy,reports,Utilities,MultiUtilities,Juno Beach, Florida,United States,6/30/1976,753308,1,170111038.6
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,Denver, Colorado,United States,6/30/1969,1164727,1,376657478
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,Los Gatos, California,United States,12/20/2010,1065280,1,548000713.3
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,United States,12/20/2010,912750,1,132349950
NI,NiSource Inc.,reports,Utilities,MultiUtilities,Merrillville, Indiana,United States,,1111711,0,39066028.24
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Washington County, Oregon,United States,11/30/1988,320187,1,373356530.7
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,New York, New York,United States,7/9/2013,1492633,1,54853821.31
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,West Falls Church, Virginia,United States,6/30/1985,1133421,0,172318523.5
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,United States,,1021860,1,95116317.46
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,Princeton, New Jersey,United States,1/29/2010,1013871,0,42278610
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,Norfolk, Virginia,United States,,702165,1,160732511
NTAP,NetApp,reports,Information Technology,Internet Software & Services,Sunnyvale, California,United States,,1002047,1,73668449
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,Chicago, Illinois,United States,,73124,1,68595217.31
NUE,Nucor Corp.,reports,Materials,Steel,Charlotte, North Carolina,United States,4/30/1985,73309,1,131146368
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,Santa Clara, California,United States,,1045810,1,3228457980
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,Sandy Springs, Georgia,United States,4/30/1989,814453,1,91398554.09
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,New York, New York,United States,9/18/2015,1564708,0,6485280
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,New York, New York,United States,8/1/2013,1564708,1,22280532
O,Realty Income Corporation,reports,Real Estate,Retail REITs,San Diego, California,United States,4/7/2015,726728,1,116339520
