Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,Bentonville, Arkansas,United States,8/31/1982,104169,1,474992660.6
WRK,WestRock Company,reports,Materials,Paper Packaging,Richmond, Virginia,United States,,1636023,1,41184624
WU,Western Union Co,reports,Information Technology,Internet Software & Services,Englewood, Colorado,United States,,1365135,1,55144905.46
WY,Weyerhaeuser Corp.,reports,Real Estate,REITs,Federal Way, Washington,United States,,106535,1,85013277
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Parsippany, New Jersey,United States,,1361658,1,40063703.57
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,Las Vegas, Nevada,United States,11/14/2008,1174922,1,163374138.8
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,Denver, Colorado,United States,6/21/2014,1168054,1,63342987.2
XEL,Xcel Energy Inc,reports,Utilities,MultiUtilities,Minneapolis, Minnesota,United States,,72903,1,76825321.89
XL,XL Capital,reports,Financials,Property & Casualty Insurance,Hamilton,NA,Bermuda,,875159,1,35739790.08
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,San Jose, California,United States,,743988,1,127483326.9
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,Irving, Texas,United States,,34088,1,822972646.2
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,York, Pennsylvania,United States,11/14/2008,818479,1,54797316
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Other Services,Norwalk, Connecticut,United States,,108772,1,98215992
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,White Plains, New York,United States,11/1/2011,1524472,1,31999824
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,Sunnyvale, California,United States,,1011006,1,248709959.1
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,Louisville, Kentucky,United States,10/6/1997,1041061,1,119510046.8
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,Warsaw, Indiana,United States,,1136869,1,100496157.1
ZION,Zions Bancorp,reports,Financials,Regional Banks,Salt Lake City, Utah,United States,,109380,1,83415825.94
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,Florham Park, New Jersey,United States,6/21/2013,1555280,1,91065234.3
